MSSubClass,MSZoning,LotArea,LotShape,LandContour,LotConfig,Neighborhood,Condition1,BldgType,HouseStyle,OverallQual,YearBuilt,RoofStyle,RoofMatl,Exterior1st,ExterQual,Foundation,BsmtQual,BsmtCond,BsmtExposure,TotalBsmtSF,HeatingQC,CentralAir,GrLivArea,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageFinish,GarageArea,GarageQual,GarageCond,PavedDrive,Fence,MiscVal,SaleType,SaleCondition,SalePrice,MasVnr,SecondFloor,Baths,Porch,Pool
A,RL,0.32014375937750794,0.0,Lvl,Corner,CollgCr,Norm,1Fam,1Story,0.7777777777777778,0.9855072463768116,Gable,CompShg,VinylSd,0.6666666666666666,PConc,Gd,TA,Av,0.5283842794759825,1.0,1.0,0.32834379526798646,0.375,0.3333333333333333,0.6666666666666666,0.4166666666666667,Typ,0.0,NoFireplace,Attchd,RFn,0.5582733812949641,TA,TA,Y,0.0,0.0,WD,Normal,Level3,1.0,0.0,0.2,True,0.0
F,RL,0.3628877490491643,1.0,Lvl,Inside,NWAmes,RRn,1Fam,2Story,0.5555555555555556,0.6956521739130435,Gable,CompShg,MetalSd,0.3333333333333333,CBlock,TA,TA,No,0.22676232064878354,1.0,1.0,0.2950265572187349,0.5,0.3333333333333333,0.3333333333333333,0.5,Typ,0.0,NoFireplace,Attchd,Unf,0.3172661870503597,TA,TA,Y,0.0,0.0,WD,Normal,Level2,0.0,1.0,0.2,False,0.0
P,RM,0.4291845493562232,1.0,Lvl,Inside,OldTown,Norm,2fmCon,2Story,0.4444444444444444,0.2028985507246377,Gable,CompShg,Wd Sdng,0.3333333333333333,BrkTil,TA,TA,No,0.206487835308796,0.5,0.0,0.48358281023660066,0.625,0.6666666666666666,0.3333333333333333,0.6666666666666666,Min,0.0,NoFireplace,Detchd,Unf,0.4028776978417266,TA,TA,Y,0.0,0.0,WD,Normal,Level1,0.0,1.0,0.2,True,0.0
A,RL,0.2651523081754423,0.0,Lvl,Inside,Gilbert,Norm,1Fam,1Story,0.6666666666666666,0.9782608695652174,Gable,CompShg,VinylSd,0.6666666666666666,PConc,Gd,TA,Av,0.41796631316281974,1.0,1.0,0.2428778367938194,0.375,0.3333333333333333,0.6666666666666666,0.3333333333333333,Typ,0.0,NoFireplace,Attchd,Fin,0.28489208633093527,TA,TA,Y,0.0,0.0,New,Partial,Level2,0.0,0.0,0.2,True,0.0
F,RL,0.33947451062493456,0.0,Lvl,Corner,NWAmes,Pos,1Fam,2Story,0.5555555555555556,0.6956521739130435,Gable,CompShg,HdBoard,0.3333333333333333,CBlock,TA,TA,Mn,0.3287585776668746,0.5,1.0,0.5601158860453888,0.5,0.3333333333333333,0.6666666666666666,0.5833333333333334,Typ,0.3333333333333333,Gd,Attchd,Unf,0.44532374100719424,TA,TA,Y,0.0,0.0,WD,Normal,Level3,1.0,1.0,0.6,True,0.0
I,RL,0.2993823929655606,1.0,Lvl,Inside,Mitchel,Norm,1Fam,SLvl,0.5555555555555556,0.7608695652173914,Gable,CompShg,Plywood,0.3333333333333333,CBlock,TA,TA,Av,0.3418590143480973,0.5,1.0,0.18928054080154516,0.375,0.3333333333333333,0.3333333333333333,0.3333333333333333,Typ,0.3333333333333333,Po,Attchd,Fin,0.25755395683453236,TA,TA,Y,1.0,0.0,WD,Normal,Level2,0.0,0.0,0.2,True,1.0
A,RL,0.22942182211521686,1.0,Lvl,Inside,Gilbert,Norm,1Fam,1Story,0.6666666666666666,0.8913043478260869,Gable,CompShg,HdBoard,0.3333333333333333,PConc,Gd,Gd,No,0.3858390517779164,0.75,1.0,0.22187349106711735,0.375,0.3333333333333333,0.3333333333333333,0.3333333333333333,Typ,0.3333333333333333,TA,Attchd,Fin,0.2892086330935252,TA,TA,Y,0.0,0.0,WD,Normal,Level2,1.0,0.0,0.2,True,0.0
G,RM,0.28961233818346765,1.0,Lvl,Inside,OldTown,Norm,1Fam,2Story,0.6666666666666666,0.4057971014492754,Gambrel,CompShg,MetalSd,0.3333333333333333,BrkTil,TA,TA,No,0.21490954460386774,1.0,1.0,0.2520521487204249,0.375,0.3333333333333333,0.6666666666666666,0.4166666666666667,Typ,0.3333333333333333,Gd,Detchd,Unf,0.2589928057553957,TA,TA,N,0.0,0.0,WD,Normal,Level2,0.0,1.0,0.2,True,0.0
A,RL,0.21249869151052025,0.0,Lvl,Inside,NAmes,Norm,1Fam,1Story,0.4444444444444444,0.6014492753623188,Hip,CompShg,Wd Sdng,0.3333333333333333,CBlock,TA,TA,No,0.3424828446662508,0.5,1.0,0.18445195557701594,0.375,0.3333333333333333,0.3333333333333333,0.3333333333333333,Typ,0.0,NoFireplace,Attchd,Unf,0.18705035971223022,TA,TA,Y,0.0,0.0,WD,Normal,Level2,1.0,0.0,0.2,False,0.0
A,RL,0.2886004396524652,1.0,Lvl,Inside,Edwards,Norm,1Fam,1Story,0.4444444444444444,0.6231884057971014,Gable,CompShg,BrkComm,0.3333333333333333,CBlock,TA,Fa,No,0.39800374298190894,0.5,1.0,0.22742636407532593,0.375,0.3333333333333333,0.3333333333333333,0.25,Mod,0.0,NoFireplace,Attchd,Unf,0.2517985611510791,TA,TA,Y,0.0,0.0,COD,Abnorml,Level1,0.0,0.0,0.0,False,0.0
G,RM,0.26867650650755437,1.0,Lvl,Corner,OldTown,Artery,1Fam,2Story,0.4444444444444444,0.057971014492753624,Gable,CompShg,VinylSd,0.3333333333333333,BrkTil,Fa,Fa,No,0.198378041172801,0.5,1.0,0.3418638338966683,0.375,0.3333333333333333,1.0,0.5,Typ,0.0,NoFireplace,Detchd,Unf,0.17266187050359713,Fa,Po,N,1.0,0.0,WD,Abnorml,Level2,0.0,1.0,0.0,True,0.0
F,RL,0.2813775777242751,1.0,Lvl,Corner,Sawyer,Norm,1Fam,2Story,0.5555555555555556,0.7028985507246377,Gable,CompShg,HdBoard,0.3333333333333333,CBlock,TA,TA,No,0.20679975046787274,0.5,1.0,0.24577498792853694,0.5,0.3333333333333333,0.3333333333333333,0.4166666666666667,Typ,0.0,NoFireplace,Attchd,Fin,0.21510791366906476,TA,TA,Y,1.0,0.0,WD,Normal,Level2,1.0,1.0,0.2,True,0.0
A,RL,0.3039184898286751,1.0,Lvl,Inside,Mitchel,Norm,1Fam,1Story,0.4444444444444444,0.7391304347826086,Gable,CompShg,HdBoard,0.3333333333333333,CBlock,Gd,TA,Av,0.43325015595757954,0.75,1.0,0.254707870593916,0.25,0.3333333333333333,0.3333333333333333,0.3333333333333333,Typ,0.3333333333333333,TA,Attchd,RFn,0.30071942446043165,TA,TA,Y,0.0,0.0,WD,Normal,Level2,0.0,0.0,0.2,True,0.0
J,RL,0.25960431278132523,0.0,Lvl,Inside,Sawyer,Norm,1Fam,SFoyer,0.4444444444444444,0.7971014492753623,Hip,CompShg,HdBoard,0.3333333333333333,CBlock,TA,TA,Av,0.26200873362445415,0.5,1.0,0.1269917914051183,0.25,0.3333333333333333,0.3333333333333333,0.16666666666666666,Typ,0.0,NoFireplace,Detchd,Unf,0.37985611510791367,TA,TA,Y,0.0,0.0,WD,Normal,Level2,0.0,0.0,0.2,False,0.0
B,RM,0.16818451446317037,1.0,Lvl,Inside,BrkSide,Norm,1Fam,1Story,0.1111111111111111,0.463768115942029,Gable,CompShg,AsbShng,0.0,BrkTil,TA,Fa,No,0.08234560199625701,0.25,0.0,0.11250603573153066,0.125,0.3333333333333333,0.0,0.16666666666666666,Maj,0.3333333333333333,Po,NoGarage,NoGarage,0.0,NoGarage,NoGarage,N,0.0,0.0,ConLw,Normal,Level1,0.0,0.0,0.0,False,0.0
F,RL,0.3224815939146516,1.0,Lvl,Inside,NoRidge,Norm,1Fam,2Story,0.6666666666666666,0.8768115942028986,Hip,CompShg,Wd Sdng,0.6666666666666666,PConc,Gd,TA,Gd,0.4089207735495945,1.0,1.0,0.503138580395944,0.375,0.3333333333333333,0.6666666666666666,0.5833333333333334,Typ,0.3333333333333333,TA,Attchd,RFn,0.7071942446043166,TA,TA,Y,0.0,0.0,WD,Normal,Level4,1.0,1.0,0.6,True,0.0
F,RL,0.3384626120939321,1.0,Lvl,FR,NoRidge,Norm,1Fam,2Story,0.7777777777777778,0.927536231884058,Gable,CompShg,VinylSd,0.6666666666666666,PConc,Gd,TA,No,0.30224578914535244,1.0,1.0,0.4710284886528247,0.5,0.3333333333333333,0.6666666666666666,0.5,Typ,0.3333333333333333,TA,BuiltIn,Fin,0.46618705035971225,TA,TA,Y,0.0,0.0,WD,Normal,Level3,1.0,1.0,0.4,True,0.0
A,RL,0.4635542063575142,0.0,Lvl,CulDSac,NAmes,Norm,1Fam,1Story,0.5555555555555556,0.6376811594202898,Gable,CompShg,Wd Sdng,0.3333333333333333,CBlock,TA,TA,No,0.3568309419837804,1.0,1.0,0.2643650410429744,0.375,0.3333333333333333,0.6666666666666666,0.4166666666666667,Typ,0.6666666666666666,Gd,Attchd,Unf,0.4115107913669065,TA,TA,Y,0.0,0.0,WD,Normal,Level2,1.0,0.0,0.2,True,0.0
N,RM,0.013259360061411773,1.0,Lvl,Inside,BrDale,Norm,Twnhs,2Story,0.4444444444444444,0.717391304347826,Gable,CompShg,HdBoard,0.3333333333333333,CBlock,TA,TA,No,0.1965065502183406,0.5,1.0,0.2337035248672139,0.375,0.3333333333333333,0.3333333333333333,0.3333333333333333,Typ,0.0,NoFireplace,Detchd,Unf,0.2014388489208633,TA,TA,Y,0.0,0.0,COD,Abnorml,Level2,1.0,1.0,0.4,False,0.0
A,RL,0.38944136222478104,1.0,Lvl,Corner,NoRidge,Norm,1Fam,1Story,0.7777777777777778,0.8840579710144928,Gable,CompShg,ImStucc,0.6666666666666666,PConc,Gd,TA,No,0.5065502183406113,1.0,1.0,0.31144374698213423,0.25,0.3333333333333333,0.6666666666666666,0.25,Typ,0.3333333333333333,Fa,Attchd,RFn,0.5446043165467626,TA,TA,Y,1.0,0.0,WD,Normal,Level3,0.0,0.0,0.4,True,0.0
A,RL,0.3039533828814683,0.0,Lvl,Inside,NAmes,Norm,1Fam,1Story,0.4444444444444444,0.6159420289855072,Gable,CompShg,HdBoard,0.3333333333333333,CBlock,TA,TA,No,0.3337492202121023,0.5,1.0,0.2177691936262675,0.25,0.3333333333333333,0.6666666666666666,0.3333333333333333,Min,0.3333333333333333,Fa,Attchd,Unf,0.32158273381294966,TA,TA,Y,1.0,0.0,WD,Normal,Level2,1.0,0.0,0.2,False,0.0
K,RL,0.199518475871454,1.0,Lvl,Inside,SawyerW,Feedr,Duplex,2Story,0.4444444444444444,0.7753623188405797,Gable,CompShg,Plywood,0.3333333333333333,Slab,NoBasement,NoBasement,NoBasement,0.0,0.5,1.0,0.460164171897634,0.75,0.6666666666666666,0.3333333333333333,0.8333333333333334,Typ,0.0,NoFireplace,Detchd,Unf,0.37985611510791367,TA,TA,Y,0.0,0.0,WD,Alloca,Level2,0.0,1.0,0.2,True,0.0
H,RM,0.20586901147981437,1.0,Lvl,Inside,IDOTRR,Norm,1Fam,2.5Unf,0.4444444444444444,0.34782608695652173,Gable,CompShg,MetalSd,0.3333333333333333,BrkTil,TA,Fa,No,0.1653150343106675,0.5,0.0,0.1875905359729599,0.375,0.3333333333333333,0.0,0.3333333333333333,Typ,0.0,NoFireplace,Detchd,Unf,0.20719424460431654,TA,TA,N,0.0,0.0,WD,Normal,Level2,0.0,1.0,0.0,True,0.0
F,RL,0.7661467601800481,0.0,HLS,CulDSac,Gilbert,Norm,1Fam,2Story,0.6666666666666666,0.9710144927536232,Gable,CompShg,VinylSd,0.6666666666666666,PConc,Ex,Gd,No,0.27074235807860264,1.0,1.0,0.4072911636890391,0.375,0.3333333333333333,0.6666666666666666,0.5833333333333334,Typ,0.3333333333333333,Gd,BuiltIn,RFn,0.3035971223021583,TA,TA,Y,0.0,0.0,New,Partial,Level3,0.0,1.0,0.4,True,0.0
O,RM,0.007885829931260685,1.0,Lvl,Inside,MeadowV,Norm,Twnhs,SFoyer,0.3333333333333333,0.7101449275362319,Gable,CompShg,CemntBd,0.3333333333333333,CBlock,Gd,TA,Av,0.1965065502183406,0.5,1.0,0.07146306132303235,0.125,0.3333333333333333,0.6666666666666666,0.08333333333333333,Typ,0.0,NoFireplace,Attchd,Unf,0.20575539568345325,TA,TA,Y,0.0,0.0,WD,Normal,Level1,0.0,0.0,0.2,False,0.0
N,RM,0.0,1.0,Lvl,Inside,Blueste,Norm,Twnhs,2Story,0.5555555555555556,0.782608695652174,Gable,CompShg,MetalSd,0.3333333333333333,CBlock,Gd,TA,No,0.17498440424204617,0.5,1.0,0.2160791887976823,0.25,0.3333333333333333,0.3333333333333333,0.25,Typ,0.3333333333333333,TA,Attchd,Fin,0.33237410071942447,TA,TA,Y,1.0,0.0,WD,Normal,Level2,0.0,1.0,0.2,True,0.0
K,RL,0.33071635437384417,1.0,Lvl,Inside,Sawyer,Norm,Duplex,1Story,0.3333333333333333,0.6956521739130435,Hip,CompShg,HdBoard,0.3333333333333333,CBlock,TA,TA,No,0.5514660012476607,0.5,0.0,0.3462095605987446,0.5,0.6666666666666666,0.3333333333333333,0.5,Typ,0.0,NoFireplace,NoGarage,NoGarage,0.0,NoGarage,NoGarage,Y,0.0,0.0,WD,Normal,Level2,0.0,0.0,0.2,False,0.0
F,RL,0.27492236295753514,0.0,Lvl,Inside,CollgCr,Norm,1Fam,2Story,0.6666666666666666,0.9202898550724637,Gable,CompShg,VinylSd,0.6666666666666666,PConc,Gd,TA,No,0.27230193387398627,1.0,1.0,0.3515210043457267,0.375,0.3333333333333333,0.6666666666666666,0.4166666666666667,Typ,0.0,NoFireplace,Attchd,RFn,0.42302158273381296,TA,TA,Y,0.0,0.0,WD,Abnorml,Level2,1.0,1.0,0.6,True,0.0
F,RL,0.24948532747130048,1.0,Lvl,Inside,CollgCr,Norm,1Fam,2Story,0.6666666666666666,0.9492753623188406,Gable,CompShg,VinylSd,0.6666666666666666,PConc,Gd,TA,No,0.26699937616968183,1.0,1.0,0.33220666344760985,0.375,0.3333333333333333,0.6666666666666666,0.5,Typ,0.0,NoFireplace,Attchd,RFn,0.3942446043165468,TA,TA,Y,0.0,0.0,WD,Normal,Level3,1.0,1.0,0.6,True,0.0
A,RL,0.2886004396524652,1.0,Lvl,Inside,Edwards,Norm,1Fam,1Story,0.4444444444444444,0.6086956521739131,Gable,CompShg,Wd Sdng,0.3333333333333333,CBlock,TA,TA,Av,0.3568309419837804,0.5,1.0,0.19555770159343314,0.375,0.3333333333333333,0.3333333333333333,0.3333333333333333,Typ,0.0,NoFireplace,Attchd,Unf,0.4287769784172662,TA,TA,Y,0.0,0.0,WD,Normal,Level2,0.0,0.0,0.2,True,0.0
A,RL,0.3990020586901148,0.0,Lvl,FR,NAmes,Norm,1Fam,1Story,0.3333333333333333,0.7246376811594203,Hip,CompShg,MetalSd,0.3333333333333333,CBlock,TA,TA,No,0.2694946974422957,0.5,1.0,0.12795750845002415,0.375,0.3333333333333333,0.3333333333333333,0.25,Typ,0.0,NoFireplace,Detchd,Unf,0.4143884892086331,TA,TA,Y,1.0,0.0,COD,Normal,Level2,0.0,0.0,0.0,True,0.0
F,RL,0.3459297253916745,0.0,Lvl,Corner,Gilbert,Norm,1Fam,2Story,0.6666666666666666,0.9130434782608695,Gable,CompShg,VinylSd,0.6666666666666666,PConc,Gd,TA,No,0.29008109794135994,0.75,1.0,0.37469821342346693,0.5,0.3333333333333333,0.6666666666666666,0.6666666666666666,Typ,0.3333333333333333,TA,Attchd,Fin,0.3100719424460432,TA,TA,Y,0.0,0.0,WD,Normal,Level2,0.0,1.0,0.4,True,0.0
A,RL,0.18493317980390103,1.0,Lvl,Inside,Mitchel,Norm,1Fam,1Story,0.4444444444444444,0.7971014492753623,Gable,CompShg,HdBoard,0.3333333333333333,PConc,TA,Gd,No,0.2545227698066126,1.0,1.0,0.11636890391115404,0.25,0.3333333333333333,0.3333333333333333,0.16666666666666666,Typ,0.0,NoFireplace,Detchd,Fin,0.5870503597122302,TA,TA,Y,0.0,0.0,WD,Normal,Level2,0.0,0.0,0.2,False,0.0
F,RL,0.3823231794549705,0.0,Lvl,Inside,NoRidge,Norm,1Fam,2Story,0.7777777777777778,0.8913043478260869,Gable,CompShg,VinylSd,0.6666666666666666,PConc,Gd,TA,Av,0.4111041796631316,1.0,1.0,0.530420086914534,0.5,0.3333333333333333,0.6666666666666666,0.5833333333333334,Typ,0.3333333333333333,TA,Attchd,RFn,0.5410071942446043,TA,TA,Y,0.0,0.0,WD,Normal,Level3,1.0,1.0,0.4,True,0.0
A,RL,0.3035695593007432,1.0,Lvl,Corner,Sawyer,Feedr,1Fam,1Story,0.4444444444444444,0.644927536231884,Hip,CompShg,HdBoard,0.3333333333333333,CBlock,TA,TA,No,0.2694946974422957,1.0,1.0,0.19555770159343314,0.375,0.3333333333333333,0.3333333333333333,0.3333333333333333,Typ,0.3333333333333333,TA,Attchd,RFn,0.18992805755395684,TA,TA,Y,1.0,0.025806451612903226,WD,Normal,Level2,0.0,0.0,0.2,True,0.0
F,RL,0.39655954499459156,0.0,Lvl,Inside,Timber,Norm,1Fam,2Story,0.7777777777777778,0.9637681159420289,Hip,CompShg,VinylSd,0.6666666666666666,PConc,Gd,Gd,Gd,0.34123518402994385,1.0,1.0,0.5185900531144375,0.5,0.3333333333333333,0.6666666666666666,0.5833333333333334,Typ,0.3333333333333333,Gd,BuiltIn,Fin,0.4618705035971223,TA,TA,Y,0.0,0.0,WD,Normal,Level3,1.0,1.0,0.4,True,0.0
A,RL,0.28961233818346765,1.0,Lvl,Inside,NAmes,Norm,1Fam,1Story,0.4444444444444444,0.6086956521739131,Hip,CompShg,MetalSd,0.3333333333333333,CBlock,TA,TA,No,0.32751091703056767,0.75,1.0,0.17286335103814582,0.25,0.3333333333333333,0.3333333333333333,0.25,Typ,0.0,NoFireplace,Attchd,Unf,0.24316546762589927,TA,TA,Y,0.0,0.0,WD,Normal,Level2,0.0,0.0,0.0,False,0.0
A,RL,0.34666247950033147,1.0,Lvl,Inside,Sawyer,Norm,1Fam,1Story,0.3333333333333333,0.6594202898550725,Gable,CompShg,HdBoard,0.3333333333333333,CBlock,TA,TA,No,0.3278228321896444,0.75,1.0,0.25301786576533075,0.375,0.3333333333333333,0.3333333333333333,0.3333333333333333,Typ,0.3333333333333333,Po,Attchd,Unf,0.3302158273381295,TA,TA,Y,0.0,0.0,WD,Normal,Level2,1.0,0.0,0.2,True,0.0
A,RL,0.3175267804180188,1.0,Lvl,Inside,NWAmes,Norm,1Fam,1Story,0.6666666666666666,0.7536231884057971,Gable,CompShg,HdBoard,0.3333333333333333,CBlock,Gd,TA,No,0.3399875233936369,0.5,1.0,0.25012071463061325,0.375,0.3333333333333333,0.3333333333333333,0.3333333333333333,Typ,0.3333333333333333,TA,Attchd,RFn,0.3446043165467626,TA,TA,Y,1.0,0.0,WD,Family,Level2,1.0,0.0,0.2,False,0.0
A,RL,0.22251299766216545,1.0,Lvl,Inside,NAmes,Norm,1Fam,1Story,0.4444444444444444,0.5869565217391305,Gable,CompShg,VinylSd,0.3333333333333333,CBlock,TA,TA,No,0.24111041796631316,0.75,1.0,0.10598744567841623,0.25,0.3333333333333333,0.3333333333333333,0.16666666666666666,Typ,0.0,NoFireplace,Attchd,Unf,0.17266187050359713,TA,TA,Y,0.0,0.0,WD,Abnorml,Level2,0.0,0.0,0.0,False,0.0
N,FV,0.06734359189085454,1.0,Lvl,Inside,Somerst,Norm,Twnhs,2Story,0.5555555555555556,0.9202898550724637,Gable,CompShg,MetalSd,0.3333333333333333,PConc,Gd,TA,No,0.22738615096693698,0.75,1.0,0.27450507001448576,0.375,0.3333333333333333,0.3333333333333333,0.3333333333333333,Typ,0.0,NoFireplace,Detchd,Unf,0.31654676258992803,TA,TA,Y,0.0,0.0,WD,Normal,Level2,1.0,1.0,0.4,True,0.0
A,RH,0.26518720122823547,1.0,Lvl,Inside,SawyerW,Norm,1Fam,1Story,0.3333333333333333,0.6811594202898551,Gable,CompShg,HdBoard,0.3333333333333333,CBlock,TA,TA,No,0.32938240798502805,0.5,1.0,0.1743119266055046,0.25,0.3333333333333333,0.3333333333333333,0.25,Typ,0.0,NoFireplace,Detchd,Unf,0.2762589928057554,TA,TA,Y,1.0,0.0,WD,Normal,Level2,0.0,0.0,0.2,True,0.0
A,RL,0.3228305244425835,0.0,Lvl,Inside,NAmes,Norm,1Fam,1Story,0.4444444444444444,0.6304347826086957,Hip,CompShg,BrkFace,0.3333333333333333,CBlock,TA,TA,No,0.4360573923892701,0.75,1.0,0.32979237083534524,0.5,0.3333333333333333,0.6666666666666666,0.3333333333333333,Typ,0.3333333333333333,Gd,Attchd,RFn,0.32158273381294966,TA,TA,Y,0.0,0.0,WD,Normal,Level2,0.0,0.0,0.4,True,0.0
L,RM,0.10938972050664712,1.0,Lvl,Inside,CollgCr,Norm,Twnhs,1Story,0.5555555555555556,0.9492753623188406,Gable,CompShg,VinylSd,0.6666666666666666,PConc,Gd,TA,Av,0.264504054897068,1.0,1.0,0.12409464027040078,0.125,0.3333333333333333,0.6666666666666666,0.08333333333333333,Typ,0.0,NoFireplace,Attchd,Fin,0.302158273381295,TA,TA,Y,0.0,0.0,WD,Normal,Level2,1.0,0.0,0.2,True,0.0
A,FV,0.20586901147981437,1.0,Lvl,Inside,Somerst,Norm,1Fam,1Story,0.5555555555555556,0.9710144927536232,Gable,CompShg,VinylSd,0.6666666666666666,PConc,Gd,TA,No,0.3936369307548347,0.75,1.0,0.22404635441815549,0.25,0.3333333333333333,0.6666666666666666,0.25,Typ,0.0,NoFireplace,Attchd,Fin,0.4115107913669065,TA,TA,Y,0.0,0.0,New,Partial,Level2,1.0,0.0,0.2,True,0.0
A,RL,0.25904602393663423,1.0,Lvl,Inside,Sawyer,Norm,1Fam,1Story,0.4444444444444444,0.6956521739130435,Gable,CompShg,VinylSd,0.3333333333333333,CBlock,Gd,TA,No,0.27885215221459764,0.75,1.0,0.13520038628681796,0.375,0.3333333333333333,0.3333333333333333,0.25,Typ,0.3333333333333333,Po,Attchd,Fin,0.3237410071942446,TA,TA,Y,0.0,0.0,WD,Normal,Level2,0.0,0.0,0.0,False,0.0
